"adm_code","adm_name","adm_level","system","bana","barl","bean","cass","chic","cnut","coco","coff","cott","cowp","grou","lent","maiz","mill","ocer","ofib","oilp","ooil","opul","orts","pige","plnt","pota","rape","rest","rice","sesa","sorg","soyb","sugb","sugc","sunf","swpo","teas","temf","toba","trof","vege","whea","yams"
"AU0","Australia",0,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU0","Australia",0,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU0","Australia",0,"H",0.269532535934936,0.989143695369445,0.972958387791205,1,0.976397646386613,1,1,1,0.154391596148235,1,0.950457286783435,0.990133062298827,0.94388528834141,0.929631611355305,0.985686870127487,1,1,0.980867958143917,0.991663056313489,0.953473001124286,1,1,0.064512111004377,0.985640757463617,1,0,1,0.942490607716655,0.972377018053993,1,0.508131801136797,0.937047061268105,1,1,0.159264201754181,0.973035543002517,0.228008150711953,0.0800746878324825,0.983171222204692,1
"AU0","Australia",0,"I",0.730467464065064,0.0108563046305555,0.027041612208795,0,0.0236023536133872,0,0,0,0.845608403851765,0,0.0495427132165648,0.00986693770117315,0.05611471165859,0.0703683886446951,0.0143131298725134,0,0,0.0191320418560833,0.00833694368651124,0.0465269988757139,0,0,0.935487888995623,0.0143592425363835,0,1,0,0.0575093922833447,0.0276229819460075,0,0.491868198863203,0.0629529387318947,0,0,0.840735798245819,0.0269644569974829,0.771991849288047,0.919925312167517,0.0168287777953077,0
"AU8","Australian Capital Territory",1,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU8","Australian Capital Territory",1,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU8","Australian Capital Territory",1,"H",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AU8","Australian Capital Territory",1,"I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU1","New South Wales",1,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU1","New South Wales",1,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU1","New South Wales",1,"H",0.270213835073419,0.965446095395163,0.981561304954309,0.981561304954309,0.981561304954309,1,0.981561304954309,0.981561304954309,0.0770004020908726,1,0.981561304954309,0.981561304954309,0.965446095395163,0.965446095395163,0.965446095395163,1,0.981561304954309,0.981561304954309,0.981561304954309,0.981561304954309,0.981561304954309,1,0.207221755700536,0.965446095395163,0.981561304954309,0,1,0.965446095395163,0.981561304954309,0.981561304954309,0.961580496006726,0.965446095395163,1,1,0.270213835073419,0.981561304954309,0.270213835073419,0.207221755700536,0.965446095395163,1
"AU1","New South Wales",1,"I",0.729786164926581,0.0345539046048373,0.0184386950456905,0.0184386950456905,0.0184386950456905,0,0.0184386950456905,0.0184386950456905,0.922999597909127,0,0.0184386950456905,0.0184386950456905,0.0345539046048373,0.0345539046048373,0.0345539046048373,0,0.0184386950456905,0.0184386950456905,0.0184386950456905,0.0184386950456905,0.0184386950456905,0,0.792778244299464,0.0345539046048373,0.0184386950456905,1,0,0.0345539046048373,0.0184386950456905,0.0184386950456905,0.0384195039932745,0.0345539046048373,0,0,0.729786164926581,0.0184386950456905,0.729786164926581,0.792778244299464,0.0345539046048373,0
"AU7","Northern Territory",1,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU7","Northern Territory",1,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU7","Northern Territory",1,"H",0.155262503110226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.155262503110226,1,0.155262503110226,0,1,1
"AU7","Northern Territory",1,"I",0.844737496889774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.844737496889774,0,0.844737496889774,1,0,0
"AU3","Queensland",1,"S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU3","Queensland",1,"L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
